251 2928 -1 (0, 0) (0, 0) 0 0
251 3414 -1 (0, 0) (0, 0) 0 0
251 3981 -1 (0, 0) (0, 0) 0 0
251 4641 -1 (0, 0) (0, 0) 0 0
251 5411 -1 (0, 0) (0, 0) 0 0
251 6309 -1 (0, 0) (0, 0) 0 0
251 7356 -1 (0, 0) (0, 0) 0 0
251 8576 -1 (0, 0) (0, 0) 0 0
251 10000 -1 (0, 0) (0, 0) 0 0
292 100 -1 (0, -1) (0, -1) 0 0
292 116 -1 (0, -1) (0, -1) 0 0
292 135 -1 (0, -1) (0, -1) 0 0
292 158 -1 (0, -1) (0, -1) 0 0
292 184 -1 (0, -1) (0, -1) 0 0
292 215 -1 (0, -1) (0, -1) 0 0
292 251 -1 (0, -1) (0, -1) 0 0
292 292 -1 (0, -1) (0, -1) 0 0
292 341 -1 (0, 0) (0, 0) 0 0
292 398 1 (1, 0) (0, 0) 0 0
292 464 1 (1, 0) (0, 0) 0 0
292 541 1 (1, 0) (0, 0) 0 0
292 630 1 (1, 0) (0, 0) 0 0
292 735 1 (1, 0) (0, 0) 0 0
292 857 1 (1, 0) (0, 0) 0 0
292 1000 1 (1, 0) (0, 0) 0 0
292 1165 -1 (0, 0) (0, 0) 0 0
292 1359 -1 (0, 0) (0, 0) 0 0
292 1584 -1 (0, 0) (0, 0) 0 0
292 1847 -1 (0, 0) (0, 0) 0 0
292 2154 -1 (0, 0) (0, 0) 0 0
292 2511 -1 (0, 0) (0, 0) 0 0
292 2928 -1 (0, 0) (0, 0) 0 0
292 3414 -1 (0, 0) (0, 0) 0 0
292 3981 -1 (0, 0) (0, 0) 0 0
292 4641 -1 (0, 0) (0, 0) 0 0
292 5411 -1 (0, 0) (0, 0) 0 0
292 6309 -1 (0, 0) (0, 0) 0 0
292 7356 -1 (0, 0) (0, 0) 0 0
292 8576 -1 (0, 0) (0, 0) 0 0
292 10000 -1 (0, 0) (0, 0) 0 0
341 100 -1 (0, -1) (0, -1) 0 0
341 116 -1 (0, -1) (0, -1) 0 0
341 135 -1 (0, -1) (0, -1) 0 0
341 158 -1 (0, -1) (0, -1) 0 0
341 184 -1 (0, -1) (0, -1) 0 0
341 215 -1 (0, -1) (0, -1) 0 0
